Video ID number,main entry gloss label,entry/variant gloss label,occurrence label,start frame of video clip containing the sign (relative to full videos),end frame of video clip containing the sign (relative to full videos),start frame of the sign (relative to full videos),end frame of the sign (relative to full videos),Dominant start handshape,Non-dominant start handshape,Dominant end handshape,Non-dominant end handshape,full video file,sign type,Class Label
6905,PLUS,PLUS,PLUS+,1296,1421,1346,1371,1,1,1,1,ASL_2007_05_24_scene23-camera1.mov,Lexical Signs,PLUS
6913,POINT-TO,POINT-TO,POINT-TO,1375,1500,1425,1450,1,,1,,ASL_2008_02_15_scene43-camera1.mov,Lexical Signs,POINT-TO
6914,POINT-TO,POINT-TO,POINT-TO,1356,1477,1406,1427,1,,1,,ASL_2011_07_19_Brady_scene37-camera1.mov,Lexical Signs,POINT-TO
207780,POLITE,POLITE,POLITE+,325,454,375,404,5,,5,,ASL_2011_07_19_Brady_scene38-camera1.mov,Lexical Signs,POLITE
6919,POLITE,POLITE,POLITE++,565,711,615,661,5,,5,,ASL_2008_02_15_scene44-camera1.mov,Lexical Signs,POLITE
6920,POLITICS,POLITICS,POLITICS,800,955,850,905,K,,K,,ASL_2008_02_15_scene44-camera1.mov,Lexical Signs,POLITICS
6921,POLITICS,POLITICS,POLITICS,709,832,759,782,K,,K,,ASL_2011_07_19_Brady_scene38-camera1.mov,Lexical Signs,POLITICS
236,PONDER,(1h)PONDER,(1h)PONDER+,735,886,785,836,flat-O,,flat-O,,ASL_2008_02_15_scene12-camera1.mov,Lexical Signs,PONDER
237,PONDER,(1h)PONDER,(1h)PONDER+,263,403,313,353,flat-O,,flat-O,,ASL_2008_06_10_scene21-camera1.mov,Lexical Signs,PONDER
238,PONDER,(1h)PONDER,(1h)PONDER+,612,784,662,734,O,,O,,ASL_2011_07_19_Brady_scene115-camera1.mov,Lexical Signs,PONDER
239,PONDER,(1h)PONDER,(1h)PONDER+,2209,2370,2259,2320,O,,O,,ASL_2011_07_22_Brady_scene47-camera1.mov,Lexical Signs,PONDER
6922,PONDER,PONDER,PONDER+,245,421,295,371,flat-O,flat-O,flat-O,flat-O,ASL_2008_02_15_scene2-camera1.mov,Lexical Signs,PONDER
6923,PONDER,PONDER,PONDER+,6630,6774,6680,6724,fanned-flat-O,fanned-flat-O,fanned-flat-O,fanned-flat-O,ASL_2011_06_14_Brady_scene55-camera1.mov,Lexical Signs,PONDER
6924,PONDER,PONDER,PONDER+,1205,1377,1255,1327,O,O,O,O,ASL_2011_07_22_Brady_scene47-camera1.mov,Lexical Signs,PONDER
6925,PONDER,PONDER_2,PONDER_2+,2612,2770,2662,2720,fanned-flat-O,fanned-flat-O,fanned-flat-O,fanned-flat-O,ASL_2008_06_10_scene11-camera1.mov,Lexical Signs,PONDER
6933,POP-UP,POP-UP,POP-UP,585,715,635,665,1,5,1,5,ASL_2008_01_11_scene16-camera1.mov,Lexical Signs,POP-UP
6934,POP-UP,POP-UP,POP-UP,1665,1795,1715,1745,1,5,1,5,ASL_2008_05_12a_scene12-camera1.mov,Lexical Signs,POP-UP
6935,POP-UP,POP-UP,POP-UP,925,1050,975,1000,1,5,1,5,ASL_2008_08_04_scene12-camera1.mov,Lexical Signs,POP-UP
6936,POP-UP,POP-UP,POP-UP,5830,5948,5880,5898,1,5,1,5,ASL_2011_06_08_Brady_scene12-camera1.mov,Lexical Signs,POP-UP
6937,POPCORN,POPCORN,POPCORN+,2434,2587,2484,2537,S,S,1,1,ASL_2008_02_15_scene44-camera1.mov,Lexical Signs,POPCORN
6938,POPCORN,POPCORN,POPCORN+,1775,1932,1825,1882,S,S,1,S,ASL_2011_07_19_Brady_scene38-camera1.mov,Lexical Signs,POPCORN
6966,POSTER,POSTER,POSTER,4340,4495,4390,4445,10,10,10,10,ASL_2010_08_10_Liz_additional_lexicon_signs_scene2-camera1.mov,Lexical Signs,POSTER
6967,POSTER,POSTER,POSTER,663,797,713,747,10,10,10,10,ASL_2011_07_19_Brady_scene39-camera1.mov,Lexical Signs,POSTER
6968,POSTER,POSTER,POSTER++,923,1083,973,1033,A,A,A,A,ASL_2011_07_19_Brady_scene39-camera1.mov,Lexical Signs,POSTER
6969,POSTER,POSTER-pl,POSTER-pl,4521,4692,4571,4642,10,10,10,10,ASL_2010_08_10_Liz_additional_lexicon_signs_scene2-camera1.mov,Lexical Signs,POSTER
6970,POSTPONE,POSTPONE,POSTPONE,2005,2145,2055,2095,F,F,F,F,ASL_2008_02_15_scene45-camera1.mov,Lexical Signs,POSTPONE
6972,POSTPONE,POSTPONE,POSTPONE,1476,1598,1526,1548,F,F,F,F,ASL_2011_07_19_Brady_scene39-camera1.mov,Lexical Signs,POSTPONE
207874,POSTPONE,POSTPONE,POSTPONE,1451,1581,1501,1531,F,F,F,F,ASL_2006_10_10_scene21-camera1.mov,Lexical Signs,POSTPONE
207875,POSTPONE,POSTPONE,POSTPONE,1557,1714,1607,1664,F,F,F,F,ASL_2007_05_24_scene23-camera1.mov,Lexical Signs,POSTPONE
6974,POSTPONE,POSTPONE,POSTPONE++,1871,2030,1921,1980,F,F,F,F,ASL_2008_02_15_scene49-camera1.mov,Lexical Signs,POSTPONE
6975,POSTPONE,POSTPONE,POSTPONE++,116,266,166,216,F,F,F,F,ASL_2011_07_19_Brady_scene44-camera1.mov,Lexical Signs,POSTPONE
6980,POUND/WEIGH,POUND/WEIGH,POUND/WEIGH+,1756,1916,1806,1866,U,U,U,U,ASL_2008_03_28_scene38-camera1.mov,Lexical Signs,POUND/WEIGH
6981,POUND/WEIGH,POUND/WEIGH,POUND/WEIGH++,2934,3084,2984,3034,U,U,U,U,ASL_2011_07_22_Brady_scene26-camera1.mov,Lexical Signs,POUND/WEIGH
6983,POWER,POWER,POWER,3845,3991,3895,3941,crvd-5,S,crvd-5,S,ASL_2008_02_15_scene45-camera1.mov,Lexical Signs,POWER
6984,POWER,POWER,POWER,389,508,439,458,crvd-B,S,crvd-B,S,ASL_2011_07_19_Brady_scene40-camera1.mov,Lexical Signs,POWER
6985,POWERFUL,POWERFUL,POWERFUL,236,380,286,330,B-xd,S,B-xd,S,ASL_2008_02_15_scene46-camera1.mov,Lexical Signs,POWERFUL
6986,POWERFUL,POWERFUL,POWERFUL,755,872,805,822,B,S,B,S,ASL_2011_07_19_Brady_scene40-camera1.mov,Lexical Signs,POWERFUL
6987,PRACTICE,PRACTICE,PRACTICE+,956,1085,1006,1035,10,1,10,1,ASL_2011_07_19_Brady_scene40-camera1.mov,Lexical Signs,PRACTICE
6988,PRACTICE,PRACTICE,PRACTICE+,1935,2083,1985,2033,10,1,10,1,ASL_2006_10_10_scene21-camera1.mov,Lexical Signs,PRACTICE
6989,PRACTICE,PRACTICE,PRACTICE++,420,570,470,520,A,1,A,1,ASL_2008_02_15_scene46-camera1.mov,Lexical Signs,PRACTICE
6990,PRACTICE,PRACTICE,PRACTICE++,2095,2264,2145,2214,A,1,A,1,ASL_2007_05_24_scene23-camera1.mov,Lexical Signs,PRACTICE
7011,PREVENT,PREVENT,PREVENT,215,357,265,307,B,B,B,B,ASL_2008_02_15_scene48-camera1.mov,Lexical Signs,PREVENT
7012,PREVENT,PREVENT,PREVENT,490,606,540,556,B-xd,B-xd,B-xd,B-xd,ASL_2011_07_19_Brady_scene42-camera1.mov,Lexical Signs,PREVENT
7013,PREVENT,PREVENT,PREVENT,749,873,799,823,B,B,B,B,ASL_2011_07_22_Brady_scene50-camera1.mov,Lexical Signs,PREVENT
7014,PRICE,PRICE,PRICE,1931,2055,1981,2005,X,B-L,X,B-L,ASL_2008_01_11_scene70-camera1.mov,Lexical Signs,PRICE
7015,PRICE,PRICE,PRICE,181,306,231,256,X,B-L,X,B-L,ASL_2008_05_12a_scene44-camera1.mov,Lexical Signs,PRICE
7016,PRICE,PRICE,PRICE,252,380,302,330,X,B-L,X,B-L,ASL_2008_08_04_scene45-camera1.mov,Lexical Signs,PRICE
7017,PRICE,PRICE,PRICE,17110,17225,17160,17175,X,B-L,X,B-L,ASL_2011_06_08_Brady_scene26-camera1.mov,Lexical Signs,PRICE
7018,PRICE,PRICE,PRICE,1116,1229,1166,1179,X,B-L,X,B-L,ASL_2006_10_10_scene6-camera1.mov,Lexical Signs,PRICE
7019,PRICE,PRICE,PRICE,1320,1458,1370,1408,X,B-L,X,B-L,ASL_2007_05_24_scene10-camera1.mov,Lexical Signs,PRICE
7023,PRINCE,PRINCE,PRINCE,1955,2095,2005,2045,K,,K,,ASL_2008_02_15_scene48-camera1.mov,Lexical Signs,PRINCE
7024,PRINCE,PRINCE,PRINCE,1255,1379,1305,1329,K,,K,,ASL_2011_07_19_Brady_scene42-camera1.mov,Lexical Signs,PRINCE
7027,PRINCIPAL,PRINCIPAL,PRINCIPAL,2435,2570,2485,2520,K,A,K,A,ASL_2008_02_15_scene48-camera1.mov,Lexical Signs,PRINCIPAL
7028,PRINCIPAL,PRINCIPAL,PRINCIPAL,1678,1800,1728,1750,K,S,K,S,ASL_2011_07_19_Brady_scene42-camera1.mov,Lexical Signs,PRINCIPAL
7029,PRINCIPAL,PRINCIPAL,PRINCIPAL,2545,2667,2595,2617,K,A,K,A,ASL_2006_10_10_scene21-camera1.mov,Lexical Signs,PRINCIPAL
7030,PRINCIPAL,PRINCIPAL,PRINCIPAL,2748,2901,2798,2851,K,fanned-flat-O,K,fanned-flat-O,ASL_2007_05_24_scene23-camera1.mov,Lexical Signs,PRINCIPAL
7045,PROBLEM,PROBLEM,PROBLEM+,3002,3160,3052,3110,crvd-V,crvd-V,crvd-V,crvd-V,ASL_2008_02_01_scene18-camera1.mov,Lexical Signs,PROBLEM
7046,PROBLEM,PROBLEM,PROBLEM+,1155,1300,1205,1250,crvd-V,crvd-V,crvd-V,crvd-V,ASL_2008_02_15_scene49-camera1.mov,Lexical Signs,PROBLEM
7047,PROBLEM,PROBLEM,PROBLEM+,2179,2314,2229,2264,crvd-V,crvd-V,crvd-V,crvd-V,ASL_2011_07_19_Brady_scene43-camera1.mov,Lexical Signs,PROBLEM
7048,PROBLEM,PROBLEM,PROBLEM+,156,288,206,238,crvd-V,crvd-V,crvd-V,crvd-V,ASL_2006_10_10_scene22-camera1.mov,Lexical Signs,PROBLEM
7049,PROBLEM,PROBLEM,PROBLEM+,110,270,160,220,crvd-V,crvd-V,crvd-V,crvd-V,ASL_2007_05_24_scene25-camera1.mov,Lexical Signs,PROBLEM
7050,PROBLEM,PROBLEM_2,PROBLEM_2,1000,1130,1050,1080,crvd-V,crvd-V,crvd-V,crvd-V,ASL_2008_02_15_scene49-camera1.mov,Lexical Signs,PROBLEM
7051,PROBLEM,PROBLEM_2,PROBLEM_2,1969,2095,2019,2045,crvd-V,crvd-V,crvd-V,crvd-V,ASL_2011_07_19_Brady_scene43-camera1.mov,Lexical Signs,PROBLEM
242,PROCEED,(1h)PROCEED,(1h)PROCEED,1290,1417,1340,1367,bent-B-L,,bent-B-L,,ASL_2008_05_29a_scene38-camera1.mov,Lexical Signs,PROCEED
7052,PROCEED,PROCEED,PROCEED,2180,2325,2230,2275,bent-B-L,bent-B-L,bent-B-L,bent-B-L,ASL_2008_02_01_scene3-camera1.mov,Lexical Signs,PROCEED
7053,PROCEED,PROCEED,PROCEED,1620,1775,1670,1725,bent-B-L,bent-B-L,bent-B-L,bent-B-L,ASL_2008_02_01_scene7-camera1.mov,Lexical Signs,PROCEED
7054,PROCEED,PROCEED,PROCEED,3230,3362,3280,3312,bent-B-L,bent-B-L,bent-B-L,bent-B-L,ASL_2008_08_13_scene3-camera1.mov,Lexical Signs,PROCEED
7055,PROCEED,PROCEED,PROCEED,2286,2410,2336,2360,bent-B-L,bent-B-L,bent-B-L,bent-B-L,ASL_2008_08_13_scene6-camera1.mov,Lexical Signs,PROCEED
7056,PROCEED,PROCEED,PROCEED,2250,2374,2300,2324,bent-B-L,bent-B-L,bent-B-L,bent-B-L,ASL_2011_06_14_Brady_scene25-camera1.mov,Lexical Signs,PROCEED
7057,PROCEED,PROCEED,PROCEED,9094,9216,9144,9166,bent-B-L,bent-B-L,bent-B-L,bent-B-L,ASL_2011_06_14_Brady_scene26-camera1.mov,Lexical Signs,PROCEED
7058,PROCEED,PROCEED,PROCEED,246,360,296,310,bent-B-L,bent-B-L,bent-B-L,bent-B-L,ASL_2006_10_10_scene12-camera1.mov,Lexical Signs,PROCEED
7059,PROCEED,PROCEED,PROCEED,123,260,173,210,bent-B-L,bent-B-L,bent-B-L,bent-B-L,ASL_2007_05_24_scene16-camera1.mov,Lexical Signs,PROCEED
613,PROFESSION,(P)PROFESSION,(P)PROFESSION,1295,1435,1345,1385,K,V,K,V,ASL_2010_08_10_Liz_additional_lexicon_signs_scene3-camera1.mov,Lexical Signs,PROFESSION
614,PROFESSION,(P)PROFESSION,(P)PROFESSION+,1430,1570,1480,1520,K,V,K,V,ASL_2010_08_10_Liz_additional_lexicon_signs_scene3-camera1.mov,Lexical Signs,PROFESSION
7066,PROJECT,PROJECT,PROJECT,190,335,240,285,K,B-L,I,B-L,ASL_2008_02_15_scene50-camera1.mov,Lexical Signs,PROJECT
7067,PROJECT,PROJECT,PROJECT,3263,3396,3313,3346,K,B-L,I,B-L,ASL_2011_07_19_Brady_scene44-camera1.mov,Lexical Signs,PROJECT
7074,PROPORTION,PROPORTION,PROPORTION,1825,1980,1875,1930,K,K,K,K,ASL_2008_02_15_scene50-camera1.mov,Lexical Signs,PROPORTION
7075,PROPORTION,PROPORTION,PROPORTION,628,751,678,701,K,K,K,K,ASL_2011_07_19_Brady_scene45-camera1.mov,Lexical Signs,PROPORTION
7090,PROVE,PROVE,PROVE,943,1060,993,1010,flat-B,B-L,flat-B,B-L,ASL_2008_02_15_scene50-camera1.mov,Lexical Signs,PROVE
7091,PROVE,PROVE,PROVE,220,350,270,300,B-L,B-L,B-L,B-L,ASL_2008_02_15_scene51-camera1.mov,Lexical Signs,PROVE
7092,PROVE,PROVE,PROVE,76,198,126,148,B-L,B-L,B-L,B-L,ASL_2011_07_19_Brady_scene45-camera1.mov,Lexical Signs,PROVE
7093,PROVE,PROVE,PROVE,1603,1722,1653,1672,B-L,B-L,B-L,B-L,ASL_2011_07_19_Brady_scene45-camera1.mov,Lexical Signs,PROVE
307,PULL,(2h)alt.PULL,(2h)alt.PULL,6726,6884,6776,6834,L-X,L-X,A,A,ASL_2011_06_14_Brady_scene6-camera1.mov,Lexical Signs,PULL
7100,PULL,PULL,PULL,1152,1295,1202,1245,S,cocked-S,S,cocked-S,ASL_2008_01_18_scene23-camera1.mov,Lexical Signs,PULL
7101,PULL,PULL,PULL,2960,3107,3010,3057,A,X-over-thumb,A,X-over-thumb,ASL_2008_02_15_scene51-camera1.mov,Lexical Signs,PULL
7103,PULL,PULL,PULL,995,1130,1045,1080,X-over-thumb,X-over-thumb,X-over-thumb,X-over-thumb,ASL_2008_08_06_scene23-camera1.mov,Lexical Signs,PULL
7104,PULL,PULL,PULL,2327,2449,2377,2399,A,A,A,A,ASL_2011_07_19_Brady_scene46-camera1.mov,Lexical Signs,PULL
207880,PULL,PULL,PULL,146,274,196,224,L-X,L-X,A,A,ASL_2011_07_22_Brady_scene42-camera1.mov,Lexical Signs,PULL
7105,PULL,PULL,PULL+,1342,1491,1392,1441,X-over-thumb,A,X-over-thumb,A,ASL_2008_05_29a_scene3-camera1.mov,Lexical Signs,PULL
7109,PUNCH,PUNCH,PUNCH,662,781,712,731,S,,S,,ASL_2008_01_18_scene43-camera1.mov,Lexical Signs,PUNCH
7110,PUNCH,PUNCH,PUNCH,1387,1514,1437,1464,S,,S,,ASL_2011_06_14_Brady_scene19-camera1.mov,Lexical Signs,PUNCH
7111,PUNISH,PUNISH,PUNISH,1847,1985,1897,1935,1,S,1,S,ASL_2008_02_15_scene52-camera1.mov,Lexical Signs,PUNISH
7112,PUNISH,PUNISH,PUNISH,1789,1905,1839,1855,1,S,1,S,ASL_2011_07_19_Brady_scene47-camera1.mov,Lexical Signs,PUNISH
7115,PURPLE,PURPLE,PURPLE+,2600,2737,2650,2687,K,,K,,ASL_2008_02_15_scene52-camera1.mov,Lexical Signs,PURPLE
7116,PURPLE,PURPLE,PURPLE++,2571,2711,2621,2661,K,,K,,ASL_2011_07_19_Brady_scene47-camera1.mov,Lexical Signs,PURPLE
7122,PUT,PUT,PUT,350,475,400,425,flat-O,flat-O,flat-O,flat-O,ASL_2008_02_29_scene3-camera1.mov,Lexical Signs,PUT
7123,PUT,PUT,PUT,4877,4988,4927,4938,flat-O,flat-O,flat-O,flat-O,ASL_2011_07_19_Brady_scene47-camera1.mov,Lexical Signs,PUT
7145,QUESTION,QUESTION,QUESTION,1245,1385,1295,1335,1,,1,,ASL_2008_02_29_scene4-camera1.mov,Lexical Signs,QUESTION
7146,QUESTION,QUESTION,QUESTION,126,261,176,211,1,,1,,ASL_2011_07_19_Brady_scene49-camera1.mov,Lexical Signs,QUESTION
7153,QUIT,QUIT,QUIT,1756,1886,1806,1836,U-L,O,U-L,O,ASL_2008_02_29_scene4-camera1.mov,Lexical Signs,QUIT
7154,QUIT,QUIT,QUIT,866,975,916,925,U,O,U,O,ASL_2011_07_19_Brady_scene49-camera1.mov,Lexical Signs,QUIT
7155,QUIT,QUIT,QUIT,1054,1170,1104,1120,U,S,U,S,ASL_2006_10_10_scene22-camera1.mov,Lexical Signs,QUIT
7156,QUIT,QUIT,QUIT,977,1104,1027,1054,U,S,U,S,ASL_2007_05_24_scene25-camera1.mov,Lexical Signs,QUIT
7178,RAKE,RAKE,RAKE+,2990,3136,3040,3086,5-C-L,B-L,5-C-L,B-L,ASL_2008_02_29_scene5-camera1.mov,Lexical Signs,RAKE
7179,RAKE,RAKE,RAKE++,1526,1692,1576,1642,crvd-5,B-L,crvd-5,B-L,ASL_2008_05_29a_scene34-camera1.mov,Lexical Signs,RAKE
7180,RAKE,RAKE,RAKE++,1999,2140,2049,2090,crvd-5,B-L,5-C-L,B-L,ASL_2011_07_19_Brady_scene50-camera1.mov,Lexical Signs,RAKE
7211,RECORD,RECORD,RECORD,1300,1440,1350,1390,O,B-L,B-L,B-L,ASL_2008_02_29_scene7-camera1.mov,Lexical Signs,RECORD
7212,RECORD,RECORD,RECORD,1142,1271,1192,1221,flat-O,B-L,B-L,B-L,ASL_2011_07_19_Brady_scene52-camera1.mov,Lexical Signs,RECORD
7218,RED,RED,RED+,2000,2125,2050,2075,1,,X,,ASL_2008_02_29_scene7-camera1.mov,Lexical Signs,RED
7219,RED,RED,RED+,1864,1991,1914,1941,1,,X,,ASL_2011_07_19_Brady_scene52-camera1.mov,Lexical Signs,RED
629,REFER,(R)REFER,(R)REFER,853,993,903,943,R,psv,R,psv,ASL_2008_02_29_scene8-camera1.mov,Lexical Signs,REFER
630,REFER,(R)REFER,(R)REFER,357,476,407,426,R,S,R,S,ASL_2011_07_19_Brady_scene53-camera1.mov,Lexical Signs,REFER
7222,REFER,REFER,REFER,1085,1220,1135,1170,bent-1,psv,1,psv,ASL_2008_02_29_scene8-camera1.mov,Lexical Signs,REFER
7223,REFER,REFER,REFER,596,712,646,662,1,S,1,S,ASL_2011_07_19_Brady_scene53-camera1.mov,Lexical Signs,REFER
7224,REFLECT,REFLECT,REFLECT,1822,1973,1872,1923,B-L,B-L,B-L,B-L,ASL_2008_02_29_scene8-camera1.mov,Lexical Signs,REFLECT
7225,REFLECT,REFLECT,REFLECT,1113,1233,1163,1183,B-L,B-L,B-L,B-L,ASL_2011_07_19_Brady_scene53-camera1.mov,Lexical Signs,REFLECT
7230,REGULAR,REGULAR,REGULAR+,9949,10083,9999,10033,1,1,1,1,ASL_2011_06_08_Brady_scene12-camera1.mov,Lexical Signs,REGULAR
7231,REGULAR,REGULAR,REGULAR+,2305,2433,2355,2383,1,1,1,1,ASL_2011_07_19_Brady_scene53-camera1.mov,Lexical Signs,REGULAR
7232,REGULAR,REGULAR,REGULAR++,3281,3450,3331,3400,1,1,1,1,ASL_2008_02_29_scene8-camera1.mov,Lexical Signs,REGULAR
7233,REGULAR,REGULAR,REGULAR++,1870,2012,1920,1962,1,1,1,1,ASL_2008_05_12a_scene13-camera1.mov,Lexical Signs,REGULAR
7234,REGULAR,REGULAR,REGULAR++,2151,2296,2201,2246,bent-1,1,bent-1,1,ASL_2008_08_04_scene13-camera1.mov,Lexical Signs,REGULAR
7235,REGULAR,REGULAR,REGULAR++,512,669,562,619,1,1,1,1,ASL_2006_10_10_scene20-camera1.mov,Lexical Signs,REGULAR
7236,REGULAR,REGULAR,REGULAR++,376,541,426,491,1,1,1,1,ASL_2007_05_24_scene22-camera1.mov,Lexical Signs,REGULAR
751,RELATIONSHIP,1p-RELATIONSHIP,1p-RELATIONSHIP,1520,1667,1570,1617,8,8,8,8,ASL_2008_02_29_scene9-camera1.mov,Lexical Signs,RELATIONSHIP
7241,RELATIONSHIP,RELATIONSHIP,RELATIONSHIP,1976,2110,2026,2060,8,8,8,8,ASL_2011_07_19_Brady_scene54-camera1.mov,Lexical Signs,RELATIONSHIP
7242,RELATIONSHIP-OFF,RELATIONSHIP-OFF,RELATIONSHIP-OFF,2161,2310,2211,2260,O,O,F,F,ASL_2008_02_29_scene9-camera1.mov,Lexical Signs,RELATIONSHIP-OFF
7243,RELATIONSHIP-OFF,RELATIONSHIP-OFF,RELATIONSHIP-OFF,2208,2324,2258,2274,O,O,F,F,ASL_2011_07_19_Brady_scene54-camera1.mov,Lexical Signs,RELATIONSHIP-OFF
7249,REMEMBER,REMEMBER,REMEMBER,2220,2370,2270,2320,10,A,10,A,ASL_2008_02_29_scene10-camera1.mov,Lexical Signs,REMEMBER
207885,REMEMBER,REMEMBER,REMEMBER,1827,1953,1877,1903,10,10,10,10,ASL_2007_05_24_scene25-camera1.mov,Lexical Signs,REMEMBER
7250,REMEMBER,REMEMBER,REMEMBER+,1899,2026,1949,1976,10,10,10,10,ASL_2006_10_10_scene22-camera1.mov,Lexical Signs,REMEMBER
7253,REMIND-2p,REMIND-2p,REMIND-2p+,2426,2573,2476,2523,bent-B-L,,bent-B-L,,ASL_2008_02_29_scene10-camera1.mov,Lexical Signs,REMIND-2p
7255,REPAIR,REPAIR,REPAIR+,1581,1726,1631,1676,flat-O,flat-O,flat-O,flat-O,ASL_2008_01_18_scene43-camera1.mov,Lexical Signs,REPAIR
7256,REPAIR,REPAIR,REPAIR+,1512,1646,1562,1596,O,O,O,O,ASL_2008_05_29a_scene23-camera1.mov,Lexical Signs,REPAIR
7257,REPAIR,REPAIR,REPAIR+,3150,3268,3200,3218,flat-O,flat-O,flat-O,flat-O,ASL_2011_06_14_Brady_scene19-camera1.mov,Lexical Signs,REPAIR
7258,REPAIR,REPAIR,REPAIR+,2216,2354,2266,2304,flat-O,flat-O,flat-O,flat-O,ASL_2011_07_22_Brady_scene42-camera1.mov,Lexical Signs,REPAIR
7259,REPAIR,REPAIR_2,REPAIR_2+,1651,1796,1701,1746,flat-O,flat-O,flat-O,flat-O,ASL_2008_08_06_scene43-camera1.mov,Lexical Signs,REPAIR
3431,REPLACE,EXCHANGE,EXCHANGE,1765,1905,1815,1855,X-over-thumb,X-over-thumb,X-over-thumb,X-over-thumb,ASL_2008_01_18_scene35-camera1.mov,Lexical Signs,REPLACE
3432,REPLACE,EXCHANGE,EXCHANGE,2460,2600,2510,2550,X-over-thumb,X-over-thumb,X-over-thumb,X-over-thumb,ASL_2008_05_29a_scene15-camera1.mov,Lexical Signs,REPLACE
3433,REPLACE,EXCHANGE,EXCHANGE,1595,1730,1645,1680,X-over-thumb,X-over-thumb,X-over-thumb,X-over-thumb,ASL_2008_08_06_scene35-camera1.mov,Lexical Signs,REPLACE
3434,REPLACE,EXCHANGE,EXCHANGE,3560,3685,3610,3635,X-over-thumb,X-over-thumb,X-over-thumb,X-over-thumb,ASL_2011_06_14_Brady_scene14-camera1.mov,Lexical Signs,REPLACE
5005,REPLACE,REPLACE,REPLACE,2639,2825,2689,2775,F,F,F,F,ASL_2010_08_10_Liz_additional_lexicon_signs_scene30-camera1.mov,Lexical Signs,REPLACE
5006,REPLACE,REPLACE,REPLACE,2027,2160,2077,2110,F,F,F,F,ASL_2006_10_10_scene22-camera1.mov,Lexical Signs,REPLACE
5007,REPLACE,REPLACE,REPLACE,1937,2073,1987,2023,F,F,F,F,ASL_2007_05_24_scene25-camera1.mov,Lexical Signs,REPLACE
7260,REPLACE,REPLACE,REPLACE,2157,2300,2207,2250,open-F,open-F,F,F,ASL_2008_03_28_scene21-camera1.mov,Lexical Signs,REPLACE
7261,REPLACE,REPLACE,REPLACE,4879,4995,4929,4945,F,F,F,F,ASL_2011_06_14_Brady_scene40-camera1.mov,Lexical Signs,REPLACE
7262,REPLACE,REPLACE,REPLACE,2002,2130,2052,2080,F,F,F,F,ASL_2011_07_22_Brady_scene9-camera1.mov,Lexical Signs,REPLACE
7263,REPLACE,REPLACE,REPLACE,570,693,620,643,F,F,F,F,ASL_2011_07_22_Brady_scene56-camera1.mov,Lexical Signs,REPLACE
8481,REPLACE,TRADE,TRADE,2933,3070,2983,3020,flat-O,flat-O,flat-O,flat-O,ASL_2008_03_28_scene21-camera1.mov,Lexical Signs,REPLACE
8482,REPLACE,TRADE,TRADE,2266,2396,2316,2346,flat-O,flat-O,flat-O,flat-O,ASL_2011_07_22_Brady_scene9-camera1.mov,Lexical Signs,REPLACE
7265,REPUBLICAN,REPUBLICAN,REPUBLICAN,125,275,175,225,R,,R,,ASL_2008_02_29_scene12-camera1.mov,Lexical Signs,REPUBLICAN
7266,REPUBLICAN,REPUBLICAN,REPUBLICAN,3633,3767,3683,3717,R,,R,,ASL_2011_07_19_Brady_scene56-camera1.mov,Lexical Signs,REPUBLICAN
7267,REQUEST,REQUEST,REQUEST,430,570,480,520,B-L,B-L,B-L,B-L,ASL_2008_01_11_scene23-camera1.mov,Lexical Signs,REQUEST
7268,REQUEST,REQUEST,REQUEST,2386,2497,2436,2447,B-L,B-L,B-L,B-L,ASL_2008_05_12a_scene15-camera1.mov,Lexical Signs,REQUEST
7269,REQUEST,REQUEST,REQUEST,2147,2267,2197,2217,B-L,B-L,B-L,B-L,ASL_2008_08_04_scene15-camera1.mov,Lexical Signs,REQUEST
7270,REQUEST,REQUEST,REQUEST,6852,6972,6902,6922,B-L,B-L,B-L,B-L,ASL_2011_06_08_Brady_scene13-camera1.mov,Lexical Signs,REQUEST
245,RESPONSIBILITY,(1h)RESPONSIBILITY,(1h)RESPONSIBILITY+,2680,2815,2730,2765,bent-B-L,,bent-B-L,,ASL_2008_05_29a_scene19-camera1.mov,Lexical Signs,RESPONSIBILITY
634,RESPONSIBILITY,(R)RESPONSIBILITY,(R)RESPONSIBILITY+,1985,2125,2035,2075,R,R,R,R,ASL_2008_02_29_scene12-camera1.mov,Lexical Signs,RESPONSIBILITY
7284,RESPONSIBILITY,RESPONSIBILITY,RESPONSIBILITY+,2165,2325,2215,2275,bent-B-L,bent-B,bent-B-L,bent-B,ASL_2008_02_29_scene12-camera1.mov,Lexical Signs,RESPONSIBILITY
7285,RESPONSIBILITY,RESPONSIBILITY,RESPONSIBILITY+,2013,2132,2063,2082,bent-B-L,bent-B-L,bent-B-L,bent-B-L,ASL_2011_07_19_Brady_scene57-camera1.mov,Lexical Signs,RESPONSIBILITY
7286,RESPONSIBILITY,RESPONSIBILITY,RESPONSIBILITY+,2261,2384,2311,2334,bent-B-L,bent-B-L,bent-B-L,bent-B-L,ASL_2011_07_19_Brady_scene57-camera1.mov,Lexical Signs,RESPONSIBILITY
7287,REST,REST,REST,2385,2545,2435,2495,B-L,B-L,B-L,B-L,ASL_2008_02_29_scene12-camera1.mov,Lexical Signs,REST
7288,REST,REST,REST,2790,2921,2840,2871,B-L,B-L,B-L,B-L,ASL_2011_07_19_Brady_scene57-camera1.mov,Lexical Signs,REST
